01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,10,0,391692,0,0,61,43,8
2,apalache,NoError,34,0,567636,0,0,14447,36596,17
3,apalache,NoError,8,0,269868,0,0,214,298,12
4,apalache,NoError,11,0,328096,0,0,3380,13202,18
5,apalache,NoError,7,0,255440,0,0,74,90,10
6,apalache,NoError,8,0,265588,0,0,614,1238,16
7,apalache,NoError,9,0,273024,0,0,27,74,4
8,apalache,NoError,10,0,335980,0,0,3238,9497,17
