01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,10,0,338544,0,0,61,43,8
2,apalache,NoError,38,0,575944,0,0,14433,36583,17
3,apalache,NoError,9,0,250104,0,0,214,298,12
4,apalache,NoError,13,0,300092,0,0,3380,13202,18
5,apalache,NoError,8,0,239980,0,0,74,90,10
6,apalache,NoError,9,0,300144,0,0,614,1238,16
7,apalache,NoError,9,0,244620,0,0,27,74,4
8,apalache,NoError,10,0,351764,0,0,3200,9336,18
